Benchmark,Source File,Optimized File,Root Struct,Preprocess Result,Time Seconds,Message
AveragePooling2D_stride_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/AveragePooling2D_stride_test_llzk/AveragePooling2D_stride_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/AveragePooling2D_stride_test.llzk,AveragePooling2D_2,success,0.193133,
AveragePooling2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/AveragePooling2D_test_llzk/AveragePooling2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/AveragePooling2D_test.llzk,AveragePooling2D_2,success,0.100781,
BatchNormalization_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/BatchNormalization_test_llzk/BatchNormalization_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/BatchNormalization_test.llzk,BatchNormalization2D_0,success,0.056640,
Conv1D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Conv1D_test_llzk/Conv1D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Conv1D_test.llzk,Conv1D_3,success,0.131240,
Conv2D_stride_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Conv2D_stride_test_llzk/Conv2D_stride_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Conv2D_stride_test.llzk,Conv2D_3,success,0.166751,
Conv2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Conv2D_test_llzk/Conv2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Conv2D_test.llzk,Conv2D_3,success,0.166621,
Dense_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Dense_test_llzk/Dense_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Dense_test.llzk,Dense_3,success,0.095087,
Flatten2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Flatten2D_test_llzk/Flatten2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Flatten2D_test.llzk,Flatten2D_0,success,0.055048,
GlobalAveragePooling2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/GlobalAveragePooling2D_test_llzk/GlobalAveragePooling2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/GlobalAveragePooling2D_test.llzk,GlobalAveragePooling2D_2,success,0.081431,
GlobalMaxPooling2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/GlobalMaxPooling2D_test_llzk/GlobalMaxPooling2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/GlobalMaxPooling2D_test.llzk,GlobalMaxPooling2D_5,success,0.130368,
IsNegative_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/IsNegative_test_llzk/IsNegative_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/IsNegative_test.llzk,IsNegative_4,success,0.083048,
IsPositive_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/IsPositive_test_llzk/IsPositive_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/IsPositive_test.llzk,IsPositive_4,success,0.082629,
MaxPooling2D_stride_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/MaxPooling2D_stride_test_llzk/MaxPooling2D_stride_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/MaxPooling2D_stride_test.llzk,MaxPooling2D_5,success,0.113755,
MaxPooling2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/MaxPooling2D_test_llzk/MaxPooling2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/MaxPooling2D_test.llzk,MaxPooling2D_5,success,0.113002,
Max_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Max_test_llzk/Max_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Max_test.llzk,Max_4,success,0.090770,
Num2Bits,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/Num2Bits_llzk/Num2Bits.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/Num2Bits.llzk,Num2Bits_0,success,0.050024,
ReLU_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/ReLU_test_llzk/ReLU_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/ReLU_test.llzk,relu_test_6,success,0.087024,
SumPooling2D_stride_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/SumPooling2D_stride_test_llzk/SumPooling2D_stride_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/SumPooling2D_stride_test.llzk,SumPooling2D_1,success,0.081563,
SumPooling2D_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/SumPooling2D_test_llzk/SumPooling2D_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/SumPooling2D_test.llzk,SumPooling2D_1,success,0.081708,
aes_256_ctr_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/aes_256_ctr_test_llzk/aes_256_ctr_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/aes_256_ctr_test.llzk,AES256CTR_8,success,1.214869,
aes_256_encrypt_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/aes_256_encrypt_test_llzk/aes_256_encrypt_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/aes_256_encrypt_test.llzk,AES256Encrypt_6,success,1.022826,
aes_256_key_expansion_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/aes_256_key_expansion_test_llzk/aes_256_key_expansion_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/aes_256_key_expansion_test.llzk,AES256KeyExpansion_3,success,0.813749,
aliascheck_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/aliascheck_test_llzk/aliascheck_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/aliascheck_test.llzk,AliasCheck_2,success,0.074434,
babyadd_tester,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/babyadd_tester_llzk/babyadd_tester.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/babyadd_tester.llzk,BabyAdd_0,success,0.052204,
babycheck_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/babycheck_test_llzk/babycheck_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/babycheck_test.llzk,BabyCheck_0,success,0.049092,
binsub_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/binsub_test_llzk/binsub_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/binsub_test.llzk,A_3,success,0.078903,
calculateTotal_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/calculateTotal_test_llzk/calculateTotal_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/calculateTotal_test.llzk,CalculateTotal_0,success,0.054077,
chi_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/chi_test_llzk/chi_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/chi_test.llzk,Chi_6,success,0.946488,
constants_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/constants_test_llzk/constants_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/constants_test.llzk,A_1,success,0.108238,
decryptMultiple_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/decryptMultiple_test_llzk/decryptMultiple_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/decryptMultiple_test.llzk,DecryptBits_1,success,0.119303,
decrypt_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/decrypt_test_llzk/decrypt_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/decrypt_test.llzk,Decrypt_1,success,0.116534,
edwards2montgomery,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/edwards2montgomery_llzk/edwards2montgomery.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/edwards2montgomery.llzk,Edwards2Montgomery_0,success,0.050867,
encryptMultiple_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/encryptMultiple_test_llzk/encryptMultiple_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/encryptMultiple_test.llzk,EncryptBits_2,success,0.127958,
encrypt_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/encrypt_test_llzk/encrypt_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/encrypt_test.llzk,Encrypt_2,success,0.118132,
escalarmulw4table,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/escalarmulw4table_llzk/escalarmulw4table.llzk,,Main_0,error,0.360849,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/escalarmulw4table_llzk/escalarmulw4table.llzk:82:26: error: 'felt.const' op operation destroyed but still has uses
      %felt_const_4_24 = felt.const  4 : <""bn128"">
                         ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/escalarmulw4table_llzk/escalarmulw4table.llzk:82:26: note: see current operation: %0 = ""felt.const""() <{value = #felt<const 4 : <""bn128"">> : !felt.type<""bn128"">}> : () -> !felt.type<""bn128"">
/Users/r"
escalarmulw4table_test3,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/escalarmulw4table_test3_llzk/escalarmulw4table_test3.llzk,,Main_0,error,0.330900,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/escalarmulw4table_test3_llzk/escalarmulw4table_test3.llzk:82:26: error: 'felt.const' op operation destroyed but still has uses
      %felt_const_4_24 = felt.const  4 : <""bn128"">
                         ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/escalarmulw4table_test3_llzk/escalarmulw4table_test3.llzk:82:26: note: see current operation: %0 = ""felt.const""() <{value = #felt<const 4 : <""bn128"">> : !felt.type<""bn128"">}> : () -> !fel"
escalarmulw4table_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/escalarmulw4table_test_llzk/escalarmulw4table_test.llzk,,Main_0,error,0.324271,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/escalarmulw4table_test_llzk/escalarmulw4table_test.llzk:82:26: error: 'felt.const' op operation destroyed but still has uses
      %felt_const_4_24 = felt.const  4 : <""bn128"">
                         ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/escalarmulw4table_test_llzk/escalarmulw4table_test.llzk:82:26: note: see current operation: %0 = ""felt.const""() <{value = #felt<const 4 : <""bn128"">> : !felt.type<""bn128"">}> : () -> !felt.ty"
fp12multiply,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/fp12multiply_llzk/fp12multiply.llzk,,Fp12Multiply_14,error,1.020967,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/fp12multiply_llzk/fp12multiply.llzk:2270:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %nondet_502, %arg6 = %553) : (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) -> (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/fp12multiply_llzk/fp12multiply.llzk:2270:14: note: see current operation: 
%5"
greatereqthan,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/greatereqthan_llzk/Num2Bits_0_unrolled.llzk,,,error,0.000000,failed to find llzk.main root struct
greatereqthan,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/greatereqthan_llzk/greatereqthan.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/greatereqthan.llzk,GreaterEqThan_2,success,0.062055,
greaterthan,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/greaterthan_llzk/greaterthan.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/greaterthan.llzk,GreaterThan_2,success,0.059652,
inTest,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/inTest_llzk/inTest.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/inTest.llzk,IN_5,success,0.077535,
iota10_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/iota10_test_llzk/iota10_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/iota10_test.llzk,Iota_3,success,0.086787,
iota3_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/iota3_test_llzk/iota3_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/iota3_test.llzk,Iota_3,success,0.087816,
isequal,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/isequal_llzk/isequal.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/isequal.llzk,IsEqual_1,success,0.054302,
iszero,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/iszero_llzk/iszero.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/iszero.llzk,IsZero_0,success,0.049722,
keccakfRound0_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/keccakfRound0_test_llzk/keccakfRound0_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/keccakfRound0_test.llzk,KeccakfRound_88,success,3.889800,
keccakfRound20_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/keccakfRound20_test_llzk/keccakfRound20_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/keccakfRound20_test.llzk,KeccakfRound_88,success,3.971782,
lesseqthan,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/lesseqthan_llzk/lesseqthan.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/lesseqthan.llzk,LessEqThan_2,success,0.063208,
lessthan,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/lessthan_llzk/lessthan.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/lessthan.llzk,LessThan_1,success,0.055721,
linefunctionequal_35_11,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/linefunctionequal_35_11_llzk/linefunctionequal_35_11.llzk,,LineFunctionEqual_15,error,1.087144,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/linefunctionequal_35_11_llzk/linefunctionequal_35_11.llzk:2270:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %nondet_502, %arg6 = %553) : (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) -> (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/linefunctionequal_35_11_llzk/linefunctionequal_35_11.ll"
linefunctionequal,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/linefunctionequal_llzk/linefunctionequal.llzk,,LineFunctionEqual_15,error,1.068064,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/linefunctionequal_llzk/linefunctionequal.llzk:2270:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %553, %arg6 = %nondet_502) : (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) -> (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/linefunctionequal_llzk/linefunctionequal.llzk:2270:14: note: see cu"
main,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/main_llzk/main.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/main.llzk,fulladder_0,success,0.047750,
matAdd_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/matAdd_test_llzk/matAdd_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/matAdd_test.llzk,matAdd_0,success,0.053498,
matElemMul_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/matElemMul_test_llzk/matElemMul_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/matElemMul_test.llzk,matElemMul_0,success,0.051740,
matElemPow_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/matElemPow_test_llzk/matElemPow_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/matElemPow_test.llzk,matElemPow_1,success,0.063273,
matMul_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/matMul_test_llzk/matMul_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/matMul_test.llzk,matMul_2,success,0.096011,
